Project ID,Voluntary Registry,Type,Country,R_ratio,Vintage_Age,M_flag,T_flag,RiskScore
GS1721,GOLD,Biodigesters,China,1.0643443540245172,13.0,0,0,0.08888566637878441
GS1724,GOLD,Biodigesters,China,1.064130274414585,13.0,0,0,0.08888566637878441
GS1722,GOLD,Biodigesters,China,1.0643324607128544,13.0,0,0,0.08888566637878441
GS1702,GOLD,Biodigesters,China,1.064130274414585,13.0,0,0,0.08888566637878441
GS5332,GOLD,Community Boreholes,Malawi,1.1700392068616337,10.0,0,0,0.08884978871053222
GS12247,GOLD,Cookstoves,Mozambique,0.3656605382271688,3.0,0,0,0.08876592367110415
ACR947,ACR,Ozone Depleting Substances Recovery & Destruction,United States,0.3670797611023504,3.0,0,0,0.08876592367110415
GS12369,GOLD,Cookstoves,India,0.370676167263716,3.0,0,0,0.08876592367110415
GS12715,GOLD,Cookstoves,Nepal,0.8275657696681831,3.0,0,0,0.08873380567723263
CAR1927,CAR,Improved Forest Management,Mexico,0.8292845710986543,3.0,0,0,0.08873380567723263
CAR1860,CAR,Ozone Depleting Substances Recovery & Destruction,United States,0.3161949096601997,3.0,0,0,0.08868056977099659
GS12141,GOLD,Cookstoves,India,0.7506531479245353,3.0,0,0,0.08866653463419392
GS12730,GOLD,Cookstoves,Nepal,0.6075750100347873,3.0,0,0,0.08864752675791703
VCS2451,VCS,Afforestation/Reforestation,China,0.8682168711667233,10.0,0,0,0.08852057902879715
CAR1964,CAR,Improved Forest Management,Mexico,0.6250762630094384,3.0,0,0,0.08847433984844538
GS12257,GOLD,Clean Water,Kenya,0.8696287176189949,3.0,0,0,0.08832310216200909
ACR875,ACR,Ozone Depleting Substances Recovery & Destruction,United States,0.8325039248170927,3.0,0,0,0.08832310216200909
CAR1831,CAR,Improved Forest Management,Mexico,0.5886116281227656,3.0,0,0,0.08831904939212051
GS12364,GOLD,Cookstoves,India,0.593032545126658,3.0,0,0,0.08831904939212051
GS12728,GOLD,Cookstoves,Nepal,0.6618193069306931,3.0,0,0,0.08830712424341718
CAR1925,CAR,Improved Forest Management,Mexico,0.665511350301019,3.0,0,0,0.08830712424341718
VCS2825,VCS,Cookstoves,Madagascar,2.6032450698381884,5.0,0,0,0.08818362727343323
VCS2773,VCS,Cookstoves,Madagascar,2.6067556903935585,5.0,0,0,0.08818362727343323
GS12716,GOLD,Cookstoves,Nepal,0.8169696614931764,3.0,0,0,0.08797343362142437
ACR941,ACR,Advanced Refrigerants,United States,0.8557108582626937,3.0,0,0,0.08791253756147618
GS12713,GOLD,Cookstoves,Nepal,0.8607150622156811,3.0,0,0,0.08791253756147618
GS12714,GOLD,Cookstoves,Nepal,0.848174714008563,3.0,0,0,0.08791253756147618
ACR937,ACR,Ozone Depleting Substances Recovery & Destruction,Thailand,0.8491119162455096,3.0,0,0,0.08791253756147618
ACR903,ACR,Ozone Depleting Substances Recovery & Destruction,Thailand,1.0207209286225278,3.0,0,0,0.08786464604268834
ACR424,ACR,Improved Forest Management,United States,0.409706192884432,9.0,0,0,0.08766768940950953
GS5194,GOLD,Community Boreholes,Uganda,0.8893971042157244,10.0,0,0,0.08766270781936907
ACR808,ACR,Mine Methane Capture,United States,0.8725084463234705,3.0,0,0,0.08758721957771161
GS12708,GOLD,Cookstoves,Nepal,0.992242900388012,3.0,0,0,0.08755368274552733
VCS4977,VCS,Cookstoves,Madagascar,0.0797194332324994,7.0,0,0,0.08728315980354934
GS2570,GOLD,Biodigesters,China,1.0251321054719384,12.0,0,0,0.08725114955899928
GS2580,GOLD,Biodigesters,China,1.0243114669671984,12.0,0,0,0.08725114955899928
GS2567,GOLD,Biodigesters,China,1.0251202121602754,12.0,0,0,0.08725114955899928
GS2568,GOLD,Biodigesters,China,1.0251321054719384,12.0,0,0,0.08725114955899928
GS2571,GOLD,Biodigesters,China,1.0251202121602754,12.0,0,0,0.08725114955899928
CAR1056,CAR,Manure Methane Digester,United States,1.0212140708239488,12.0,0,0,0.08725114955899928
GS2583,GOLD,Biodigesters,China,1.0297110304621546,12.0,0,0,0.08725114955899928
GS2582,GOLD,Biodigesters,China,1.031054974680062,12.0,0,0,0.08725114955899928
GS2581,GOLD,Biodigesters,China,1.0298061769554578,12.0,0,0,0.08725114955899928
GS2579,GOLD,Biodigesters,China,1.0251202121602754,12.0,0,0,0.08725114955899928
GS2575,GOLD,Biodigesters,China,1.0279508203360457,12.0,0,0,0.08725114955899928
GS2572,GOLD,Biodigesters,China,1.0251321054719384,12.0,0,0,0.08725114955899928
GS2573,GOLD,Biodigesters,China,1.0251202121602754,12.0,0,0,0.08725114955899928
GS2574,GOLD,Biodigesters,China,1.0251202121602754,12.0,0,0,0.08725114955899928
GS2569,GOLD,Biodigesters,China,1.0251202121602754,12.0,0,0,0.08725114955899928
GS2566,GOLD,Biodigesters,China,1.0434478054328031,12.0,0,0,0.08716606538758441
GS2578,GOLD,Biodigesters,China,1.049977233535735,12.0,0,0,0.08716606538758441
GS2584,GOLD,Biodigesters,China,1.0441257241975883,12.0,0,0,0.08716606538758441
GS12719,GOLD,Cookstoves,Nepal,0.6953574474846134,3.0,0,0,0.08714239675752179
GS12725,GOLD,Cookstoves,Nepal,0.6944825394701633,3.0,0,0,0.08714239675752179
GS12260,GOLD,Clean Water,Kenya,0.6957095590321021,3.0,0,0,0.08714239675752179
GS7465,GOLD,Cookstoves,Myanmar,1.857134748092346,7.0,0,0,0.08710349837785393
GS2577,GOLD,Biodigesters,China,1.0637140085063836,12.0,0,0,0.08705752954074446
ACR1021,ACR,HFC Refrigerant Reclamation,United States,1.014366533925213,3.0,0,0,0.08699489534347536
VCS4226,VCS,Cookstoves,Uganda,1.0103326954942111,3.0,0,0,0.08699489534347536
ACR877,ACR,Ozone Depleting Substances Recovery & Destruction,United States,0.8739411042961961,3.0,0,0,0.0868275655214274
GS12251,GOLD,Clean Water,Kenya,0.875214939094399,3.0,0,0,0.0868275655214274
GS7689,GOLD,Clean Water,Zambia,2.5961917295054175,5.0,0,0,0.0867811842890753
GS2576,GOLD,Biodigesters,China,1.0380244553145213,12.0,0,0,0.08675589213847572
ACR507,ACR,Improved Forest Management,United States,0.3283133417116546,8.0,0,0,0.08659016263034211
VCS1736,VCS,Natural Gas Electricity Generation,Singapore,1.0,12.0,0,0,0.08651009153175349
VCS1308,VCS,RE Bundled,Uruguay,1.0,12.0,0,0,0.08651009153175349
GS4238,GOLD,Methane Recovery in Wastewater,Bulgaria,1.0,12.0,0,0,0.08651009153175349
GS3976,GOLD,Landfill Methane,Chile,1.0,12.0,0,0,0.08651009153175349
GS1229,GOLD,Composting,Nepal,1.0,12.0,0,0,0.08651009153175349
GS1374,GOLD,Fuel Switching,Indonesia,1.0,12.0,0,0,0.08651009153175349
GS3564,GOLD,Community Boreholes,Uganda,1.4030958831950808,11.0,0,0,0.08649146822746893
