Project ID,Project Name,Voluntary Registry,Type,Scope,Country,Region,Methodology / Protocol,Voluntary Status,Reduction / Removal,First Year of Project (Vintage),Total Credits  Issued,Total Credits  Retired,Total Credits Remaining,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,start_year,start_year_missing,Vintage_Age
ACR129,Tecnosol Solar Electrification,ACR,Solar - Distributed,Renewable Energy,Nicaragua,Latin America and the Caribbean,AMS-I.A. Electricity generation by the user,Completed,Reduction,2005.0,3913,0,3913,0,0,0,0,0,0,0,0,0,473,1586,1854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,21.0
ACR130,"Truck Stop Electrification, Alabama",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2004.0,8356,8356,0,0,0,0,0,0,0,0,0,535,793,869,1880,2463,1676,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,22.0
ACR131,"Truck Stop Electrification, Arizona",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2006.0,11104,10391,713,0,0,0,0,0,0,0,0,0,0,615,3984,3997,2315,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR132,"Truck Stop Electrification, Arkansas",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2003.0,28069,28069,0,0,0,0,0,0,0,0,958,1374,1713,3064,7271,8616,5073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,23.0
ACR133,"Truck Stop Electrification, California",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2005.0,21943,13690,8253,0,0,0,0,0,0,0,0,0,1315,5941,14687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,21.0
ACR134,"Truck Stop Electrification, Colorado",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2007.0,3671,1871,1800,0,0,0,0,0,0,0,0,0,0,0,1795,1841,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,0,19.0
ACR135,"Truck Stop Electrification, Florida",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2006.0,7348,7348,0,0,0,0,0,0,0,0,0,0,0,261,2404,2647,1879,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR136,"Truck Stop Electrification, Georgia",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2003.0,22220,22220,0,0,0,0,0,0,0,0,1715,1716,2158,3364,4785,4923,3559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,23.0
ACR137,"Truck Stop Electrification, Illinois",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2006.0,20531,17139,3392,0,0,0,0,0,0,0,0,0,0,365,6253,8134,5334,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR138,"Truck Stop Electrification, Indiana",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2006.0,12150,12150,0,0,0,0,0,0,0,0,0,0,0,380,3837,4548,3125,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR139,"Truck Stop Electrification, Kentucky",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2006.0,4075,4075,0,0,0,0,0,0,0,0,0,0,0,295,1288,1479,935,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR140,"Truck Stop Electrification, Louisianna",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2006.0,11603,9603,2000,0,0,0,0,0,0,0,0,0,0,1049,3299,4174,2844,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR141,"Truck Stop Electrification, Maryland",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2005.0,12112,12112,0,0,0,0,0,0,0,0,0,0,220,1223,3546,3968,2912,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,21.0
ACR142,"Truck Stop Electrification, Michigan",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2007.0,4084,3952,132,0,0,0,0,0,0,0,0,0,0,0,1065,1785,1139,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,0,19.0
ACR143,"Truck Stop Electrification, Minnesota",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2007.0,1785,1185,600,0,0,0,0,0,0,0,0,0,0,0,429,825,490,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,0,19.0
ACR144,"Truck Stop Electrification, Mississippi",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2006.0,4185,3585,600,0,0,0,0,0,0,0,0,0,0,473,1271,1504,865,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR145,"Truck Stop Electrification, Missouri",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2006.0,5375,5375,0,0,0,0,0,0,0,0,0,0,0,351,1782,1970,1174,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR146,"Truck Stop Electrification, Nebraska",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2006.0,3124,3124,0,0,0,0,0,0,0,0,0,0,0,211,1111,1123,627,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR147,"Truck Stop Electrification, New Jersey",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2004.0,7207,6689,518,0,0,0,0,0,0,0,0,335,982,947,3284,1659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,22.0
ACR148,"Truck Stop Electrification, New Mexico",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2006.0,9483,9483,0,0,0,0,0,0,0,0,0,0,0,228,3348,3672,2063,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR149,"Truck Stop Electrification, North Carolina",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2004.0,8488,8488,0,0,0,0,0,0,0,0,0,292,841,1109,2185,2350,1579,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,22.0
ACR150,"Truck Stop Electrification, North Dakota",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2007.0,1351,829,522,0,0,0,0,0,0,0,0,0,0,0,336,622,363,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,0,19.0
ACR151,"Truck Stop Electrification, Ohio",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2006.0,28663,24356,4307,0,0,0,0,0,0,0,0,0,0,1194,8864,10948,7068,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR152,"Truck Stop Electrification, Oklahoma",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2006.0,8165,8165,0,0,0,0,0,0,0,0,0,0,0,595,2885,2913,1636,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR153,"Truck Stop Electrification, Oregon",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2007.0,5583,4813,770,0,0,0,0,0,0,0,0,0,0,0,1581,2312,1560,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,0,19.0
ACR154,"Truck Stop Electrification, Pennsylvania",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2006.0,24818,22418,2400,0,0,0,0,0,0,0,0,0,0,2486,10123,11523,633,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,20.0
ACR155,"Truck Stop Electrification, South Carolina",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2004.0,5329,5329,0,0,0,0,0,0,0,0,0,107,271,576,1439,1635,1201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,22.0
ACR156,"Truck Stop Electrification, Tennessee",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2003.0,19418,17773,1645,0,0,0,0,0,0,0,1159,1330,1396,1945,4607,5291,3406,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,23.0
ACR157,"Truck Stop Electrification, Texas",ACR,Truck Stop Electrification,Transportation,United States,North America,Emissions Reductions through Anti-Idling Technologies,Completed,Reduction,2005.0,85912,83112,2800,0,0,0,0,0,0,0,0,0,3839,12920,23241,27818,16702,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,21.0
